Local_Authority,OA_code,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Peterborough,E00079042,319,35,115,87,6,41,17,14,1,3
Peterborough,E00079043,362,26,82,57,34,47,51,65,0,0
Peterborough,E00079044,385,38,208,54,5,45,16,15,4,0
Peterborough,E00079045,126,8,13,12,47,6,25,12,3,0
Peterborough,E00079046,603,70,143,63,79,60,88,87,8,5
Peterborough,E00079047,541,102,110,57,101,35,95,31,6,4
Peterborough,E00079048,364,25,105,23,97,37,34,34,2,7
Peterborough,E00079049,135,21,29,13,19,25,11,16,1,0
Peterborough,E00079050,120,22,25,27,4,12,14,16,0,0
Peterborough,E00079051,255,28,47,37,44,31,31,37,0,0
Peterborough,E00079052,248,36,62,17,38,46,27,21,1,0
Peterborough,E00079053,446,107,136,36,75,16,31,36,5,4
Peterborough,E00079054,361,5,27,28,44,55,71,90,32,9
Peterborough,E00079055,442,10,29,39,64,23,101,141,27,8
Peterborough,E00079056,246,11,24,42,13,23,61,54,18,0
Peterborough,E00079057,325,19,64,30,54,41,54,46,17,0
Peterborough,E00079058,161,8,14,14,7,21,41,38,17,1
Peterborough,E00079059,279,14,33,30,18,40,51,79,7,7
Peterborough,E00079060,336,11,33,43,51,24,69,63,41,1
Peterborough,E00079061,276,17,64,44,27,31,42,37,12,2
Peterborough,E00079062,451,17,43,61,17,38,125,107,36,7
Peterborough,E00079063,333,15,23,41,30,55,77,77,15,0
Peterborough,E00079064,341,17,65,45,49,46,54,54,11,0
Peterborough,E00079065,330,29,33,53,22,31,66,84,6,6
Peterborough,E00079066,331,19,54,19,40,38,62,78,19,2
Peterborough,E00079067,316,8,43,34,24,11,56,117,16,7
Peterborough,E00079068,355,17,29,21,37,45,80,94,32,0
Peterborough,E00079069,296,9,20,22,25,25,58,100,34,3
Peterborough,E00079070,223,11,12,13,41,22,36,64,20,4
Peterborough,E00079071,389,9,15,49,44,24,91,120,37,0
Peterborough,E00079072,284,8,42,36,26,41,59,55,11,6
Peterborough,E00079073,515,126,156,61,86,16,46,14,4,6
Peterborough,E00079074,143,29,51,4,27,7,20,4,1,0
Peterborough,E00079075,408,120,93,34,93,19,21,24,4,0
Peterborough,E00079076,300,43,64,29,63,24,37,37,3,0
Peterborough,E00079077,308,29,96,37,55,21,34,36,0,0
Peterborough,E00079078,290,25,73,48,31,40,30,35,4,4
Peterborough,E00079079,299,39,51,31,73,39,38,28,0,0
Peterborough,E00079080,421,121,131,42,71,17,16,19,4,0
Peterborough,E00079081,388,94,125,33,54,25,27,22,2,6
Peterborough,E00079082,381,7,46,47,21,25,92,109,22,12
Peterborough,E00079083,367,32,41,44,37,49,67,81,14,2
Peterborough,E00079084,318,40,67,29,14,25,43,60,35,5
Peterborough,E00079085,322,42,80,44,40,30,28,52,6,0
Peterborough,E00079086,300,16,43,39,9,41,31,91,23,7
Peterborough,E00079087,271,33,41,29,27,56,50,31,0,4
Peterborough,E00079088,148,17,35,32,5,13,22,19,5,0
Peterborough,E00079089,248,15,30,31,19,53,32,62,2,4
Peterborough,E00079090,293,10,47,26,14,26,69,76,24,1
Peterborough,E00079091,337,10,66,36,18,44,71,60,30,2
Peterborough,E00079092,239,3,22,27,16,23,44,77,23,4
Peterborough,E00079093,217,15,63,32,28,13,42,21,3,0
Peterborough,E00079094,288,27,52,58,28,23,48,40,7,5
Peterborough,E00079095,325,12,53,43,27,31,84,55,16,4
Peterborough,E00079096,375,21,48,30,16,51,91,89,24,5
Peterborough,E00079097,308,15,38,30,27,34,68,79,17,0
Peterborough,E00079098,308,22,70,43,20,36,65,41,11,0
Peterborough,E00079099,285,13,56,15,7,38,57,71,26,2
Peterborough,E00079100,368,27,48,52,31,42,74,83,7,4
Peterborough,E00079101,269,8,34,60,7,11,71,47,31,0
Peterborough,E00079102,330,19,62,29,23,22,70,92,12,1
Peterborough,E00079103,340,13,35,45,26,53,48,87,21,12
Peterborough,E00079104,240,11,31,17,23,53,54,25,18,8
Peterborough,E00079105,270,19,61,41,11,45,49,37,7,0
Peterborough,E00079106,244,8,42,31,16,40,64,35,8,0
Peterborough,E00079107,264,60,68,52,24,15,14,17,10,4
Peterborough,E00079108,313,13,46,27,30,49,57,53,35,3
Peterborough,E00079109,267,19,56,39,7,21,56,44,19,6
Peterborough,E00079110,167,13,28,31,18,16,39,14,8,0
Peterborough,E00079111,319,0,24,31,41,40,70,80,29,4
Peterborough,E00079112,434,8,42,44,12,35,119,109,36,29
Peterborough,E00079113,276,5,49,38,21,40,40,55,24,4
Peterborough,E00079114,219,0,24,49,28,18,38,54,8,0
Peterborough,E00079115,333,123,104,32,32,18,18,4,2,0
Peterborough,E00079116,281,37,72,55,28,30,26,32,1,0
Peterborough,E00079117,235,25,63,50,29,19,29,15,3,2
Peterborough,E00079118,307,35,89,59,18,29,30,42,2,3
Peterborough,E00079119,410,91,133,45,49,38,24,26,4,0
Peterborough,E00079120,256,58,73,37,19,14,25,26,3,1
Peterborough,E00079121,279,65,98,31,38,15,21,11,0,0
Peterborough,E00079122,255,50,61,37,34,25,15,30,3,0
Peterborough,E00079123,257,19,52,36,25,14,28,59,20,4
Peterborough,E00079125,228,36,62,38,15,18,43,14,2,0
Peterborough,E00079126,256,22,69,42,35,16,25,36,5,6
Peterborough,E00079127,343,19,49,32,37,52,77,47,22,8
Peterborough,E00079128,170,6,17,23,11,29,29,40,13,2
Peterborough,E00079129,274,0,40,28,17,44,37,58,35,15
Peterborough,E00079130,338,2,25,25,24,40,90,93,28,11
Peterborough,E00079131,254,17,21,21,1,10,68,82,26,8
Peterborough,E00079132,363,23,69,22,39,33,53,97,20,7
Peterborough,E00079133,333,124,122,30,26,15,13,2,1,0
Peterborough,E00079134,266,76,75,21,45,14,16,11,8,0
Peterborough,E00079135,283,66,91,53,20,8,33,3,9,0
Peterborough,E00079136,242,55,90,32,5,18,19,23,0,0
Peterborough,E00079137,198,24,55,23,19,14,40,19,4,0
Peterborough,E00079138,304,31,119,60,11,19,35,27,2,0
Peterborough,E00079139,197,27,44,38,18,11,25,27,4,3
Peterborough,E00079140,323,73,102,47,29,24,23,17,6,2
Peterborough,E00079141,328,49,79,51,21,42,47,25,14,0
Peterborough,E00079142,312,95,104,39,28,15,13,14,4,0
Peterborough,E00079145,138,13,24,20,12,19,15,30,5,0
Peterborough,E00079146,419,148,141,37,34,38,8,9,2,2
Peterborough,E00079147,264,28,55,32,23,38,32,51,3,2
Peterborough,E00079148,292,45,72,51,21,24,44,26,9,0
Peterborough,E00079149,293,67,94,31,18,20,36,24,2,1
Peterborough,E00079151,331,76,89,32,49,42,22,16,5,0
Peterborough,E00079152,234,29,48,39,30,22,16,38,12,0
Peterborough,E00079153,327,65,112,32,55,14,32,15,2,0
Peterborough,E00079154,461,134,95,42,58,43,34,45,7,3
Peterborough,E00079155,270,29,39,12,29,29,46,68,13,5
Peterborough,E00079156,266,12,58,34,31,40,35,54,2,0
Peterborough,E00079157,361,43,83,20,71,3,38,89,7,7
Peterborough,E00079158,271,39,66,22,11,34,47,39,3,10
Peterborough,E00079159,379,34,51,28,51,43,61,76,28,7
Peterborough,E00079160,355,35,92,20,14,34,67,80,10,3
Peterborough,E00079161,329,62,32,27,69,25,46,57,11,0
Peterborough,E00079162,448,39,41,66,117,40,45,87,7,6
Peterborough,E00079163,441,2,41,67,87,27,66,124,23,4
Peterborough,E00079164,402,28,118,47,64,39,43,61,2,0
Peterborough,E00079165,407,38,40,30,54,41,87,90,24,3
Peterborough,E00079166,428,48,75,34,69,61,66,58,17,0
Peterborough,E00079167,392,46,94,43,76,39,38,44,9,3
Peterborough,E00079168,453,35,105,34,121,41,30,75,12,0
Peterborough,E00079169,398,21,50,32,62,30,47,101,30,25
Peterborough,E00079170,393,40,96,32,46,14,54,94,17,0
Peterborough,E00079171,413,17,60,24,89,27,79,88,22,7
Peterborough,E00079172,271,43,49,21,42,12,48,29,16,11
Peterborough,E00079173,414,68,80,55,71,48,42,42,6,2
Peterborough,E00079174,426,38,89,60,75,37,21,91,15,0
Peterborough,E00079175,371,9,44,24,46,32,52,135,18,11
Peterborough,E00079176,590,42,45,73,80,40,145,109,42,14
Peterborough,E00079177,274,50,58,49,54,11,19,25,8,0
Peterborough,E00079178,229,2,18,15,16,31,47,87,10,3
Peterborough,E00079179,407,24,60,38,62,29,60,96,17,21
Peterborough,E00079180,354,12,49,13,26,56,70,110,18,0
Peterborough,E00079181,250,7,28,30,38,25,50,62,9,1
Peterborough,E00079182,288,22,89,31,26,39,46,25,8,2
Peterborough,E00079183,263,2,51,22,9,35,47,65,32,0
Peterborough,E00079184,546,32,79,60,53,55,75,123,63,6
Peterborough,E00079185,299,3,39,25,45,25,66,58,35,3
Peterborough,E00079186,287,24,44,48,14,36,51,64,6,0
Peterborough,E00079187,456,29,34,62,39,52,82,106,43,9
Peterborough,E00079188,407,22,51,29,34,31,104,120,13,3
Peterborough,E00079189,397,31,89,58,52,37,49,69,8,4
Peterborough,E00079190,200,24,48,25,24,24,26,26,3,0
Peterborough,E00079191,328,38,55,49,37,48,47,47,7,0
Peterborough,E00079192,248,39,48,46,23,21,40,20,9,2
Peterborough,E00079193,293,34,52,35,16,46,43,60,7,0
Peterborough,E00079194,239,4,58,32,11,32,44,46,11,1
Peterborough,E00079195,252,38,67,31,38,21,36,15,3,3
Peterborough,E00079196,233,15,39,24,14,25,55,47,14,0
Peterborough,E00079197,293,17,22,33,17,28,61,79,25,11
Peterborough,E00079198,256,16,31,19,16,23,62,66,20,3
Peterborough,E00079199,274,13,21,44,29,46,47,61,13,0
Peterborough,E00079200,342,10,48,44,30,47,61,96,6,0
Peterborough,E00079201,289,15,22,34,41,17,39,85,35,1
Peterborough,E00079202,223,2,11,19,12,25,45,56,39,14
Peterborough,E00079203,212,27,53,36,10,18,25,27,16,0
Peterborough,E00079204,290,11,40,20,21,45,65,53,30,5
Peterborough,E00079205,367,19,46,45,19,28,64,111,26,9
Peterborough,E00079206,278,13,58,21,14,35,61,50,21,5
Peterborough,E00079207,272,5,36,22,23,24,62,68,23,9
Peterborough,E00079208,462,2,37,46,33,63,80,120,71,10
Peterborough,E00079209,291,17,41,26,38,23,52,81,11,2
Peterborough,E00079210,301,9,17,48,24,32,64,68,33,6
Peterborough,E00079211,319,2,45,37,22,22,85,60,42,4
Peterborough,E00079212,313,15,21,46,13,39,73,79,23,4
Peterborough,E00079213,307,14,40,46,13,33,63,77,19,2
Peterborough,E00079214,357,18,40,37,9,27,68,104,50,4
Peterborough,E00079215,321,12,68,20,23,36,60,71,31,0
Peterborough,E00079216,345,9,14,50,25,39,62,108,32,6
Peterborough,E00079217,198,7,13,11,18,19,58,55,17,0
Peterborough,E00079218,277,8,19,23,27,24,59,77,38,2
Peterborough,E00079219,342,34,60,16,44,13,77,67,28,3
Peterborough,E00079220,345,33,47,31,38,38,53,79,26,0
Peterborough,E00079221,426,56,46,45,81,36,67,77,13,5
Peterborough,E00079222,417,26,53,37,102,34,49,109,7,0
Peterborough,E00079223,480,44,72,44,110,63,73,67,6,1
Peterborough,E00079224,315,21,38,44,17,23,56,84,22,10
Peterborough,E00079225,330,13,53,55,21,39,50,72,25,2
Peterborough,E00079226,300,5,28,32,19,29,66,82,27,12
Peterborough,E00079227,434,30,54,52,28,49,77,99,40,5
Peterborough,E00079228,311,7,48,38,24,34,70,69,21,0
Peterborough,E00079229,286,11,30,22,31,39,60,73,15,5
Peterborough,E00079230,398,17,71,38,10,54,73,109,21,5
Peterborough,E00079231,350,5,74,19,31,51,46,93,15,16
Peterborough,E00079232,281,20,31,47,34,43,53,47,6,0
Peterborough,E00079233,302,30,61,25,31,44,47,57,2,5
Peterborough,E00079234,267,40,50,53,29,22,44,26,3,0
Peterborough,E00079235,487,31,86,76,50,28,106,82,28,0
Peterborough,E00079236,338,46,41,39,28,48,75,57,4,0
Peterborough,E00079237,146,4,12,6,7,19,45,43,10,0
Peterborough,E00079238,222,4,25,23,23,38,51,35,20,3
Peterborough,E00079239,235,29,63,36,25,22,38,17,1,4
Peterborough,E00079240,267,11,52,40,35,28,37,52,12,0
Peterborough,E00079241,275,30,39,27,18,35,63,52,11,0
Peterborough,E00079242,464,68,81,66,63,60,63,50,9,4
Peterborough,E00079243,252,16,34,31,30,31,45,55,6,4
Peterborough,E00079244,277,14,47,38,31,28,47,60,12,0
Peterborough,E00079245,248,17,31,37,21,32,47,52,11,0
Peterborough,E00079246,309,25,63,34,23,31,49,78,0,6
Peterborough,E00079247,292,28,53,16,29,30,47,80,9,0
Peterborough,E00079248,277,11,38,44,26,45,55,48,7,3
Peterborough,E00079249,306,8,48,45,25,55,70,38,14,3
Peterborough,E00079250,269,26,43,37,30,32,50,46,5,0
Peterborough,E00079251,289,33,37,40,34,31,51,53,10,0
Peterborough,E00079252,284,21,52,28,33,39,51,55,5,0
Peterborough,E00079253,303,17,46,49,17,45,64,54,10,1
Peterborough,E00079254,261,30,62,22,22,37,28,44,12,4
Peterborough,E00079255,283,33,71,26,43,24,29,47,9,1
Peterborough,E00079256,188,10,14,18,15,30,38,42,16,5
Peterborough,E00079257,327,41,32,45,30,34,58,75,8,4
Peterborough,E00079258,290,16,28,33,35,43,84,31,18,2
Peterborough,E00079259,340,28,62,53,41,35,37,71,7,6
Peterborough,E00079260,343,23,96,37,28,48,38,70,3,0
Peterborough,E00079261,303,30,27,33,24,42,46,73,26,2
Peterborough,E00079262,364,57,94,50,34,36,34,45,10,4
Peterborough,E00079263,366,74,99,56,39,28,24,34,12,0
Peterborough,E00079264,235,13,53,33,13,24,53,42,4,0
Peterborough,E00079265,378,90,100,46,34,16,36,45,2,9
Peterborough,E00079266,336,41,119,46,45,30,28,22,2,3
Peterborough,E00079267,214,1,17,13,24,18,48,59,30,4
Peterborough,E00079268,369,8,32,54,25,25,70,111,44,0
Peterborough,E00079269,211,2,29,27,25,33,41,48,6,0
Peterborough,E00079270,265,8,52,48,17,36,42,45,17,0
Peterborough,E00079271,338,31,87,33,42,26,50,50,12,7
Peterborough,E00079272,283,24,51,24,33,22,61,58,9,1
Peterborough,E00079273,344,29,88,27,49,37,45,64,5,0
Peterborough,E00079274,316,32,87,32,28,48,41,35,8,5
Peterborough,E00079275,312,27,48,33,34,35,37,78,13,7
Peterborough,E00079276,367,28,110,33,23,43,56,59,8,7
Peterborough,E00079277,226,10,45,24,17,35,52,27,7,9
Peterborough,E00079278,265,15,40,31,18,32,63,56,10,0
Peterborough,E00079279,262,13,40,40,32,30,54,47,4,2
Peterborough,E00079280,330,18,71,41,42,31,82,40,5,0
Peterborough,E00079281,261,20,41,37,18,25,64,45,10,1
Peterborough,E00079282,331,19,58,30,34,37,53,79,12,9
Peterborough,E00079283,325,39,81,26,55,44,41,21,10,8
Peterborough,E00079284,266,18,45,32,31,44,36,40,20,0
Peterborough,E00079285,309,33,41,28,34,54,48,54,13,4
Peterborough,E00079286,328,18,40,47,25,38,55,69,30,6
Peterborough,E00079287,289,5,40,29,19,34,85,54,22,1
Peterborough,E00079288,275,21,54,37,22,41,37,42,16,5
Peterborough,E00079289,275,18,53,43,34,27,46,37,10,7
Peterborough,E00079290,285,33,75,39,50,19,35,21,4,9
Peterborough,E00079291,233,19,65,41,10,21,43,24,9,1
Peterborough,E00079292,330,43,87,42,26,39,26,52,10,5
Peterborough,E00079293,271,37,57,39,26,33,34,37,8,0
Peterborough,E00079294,331,65,84,45,50,29,30,27,1,0
Peterborough,E00079295,240,8,54,34,25,26,52,36,5,0
Peterborough,E00079296,326,43,91,30,22,50,42,38,10,0
Peterborough,E00079297,219,12,59,46,19,24,31,23,5,0
Peterborough,E00079298,337,53,89,43,27,41,51,25,8,0
Peterborough,E00079299,309,13,36,36,40,31,72,63,15,3
Peterborough,E00079300,282,20,68,55,29,11,52,32,9,6
Peterborough,E00079301,175,13,37,20,14,23,19,22,22,5
Peterborough,E00079302,370,20,54,62,44,27,68,48,41,6
Peterborough,E00079303,311,21,25,55,33,27,63,50,34,3
Peterborough,E00079304,346,54,89,55,35,26,44,37,2,4
Peterborough,E00079305,266,61,71,36,20,27,24,24,3,0
Peterborough,E00079306,346,19,95,38,20,49,55,44,25,1
Peterborough,E00079307,197,31,50,22,12,20,33,20,9,0
Peterborough,E00079308,375,66,100,53,29,34,49,38,6,0
Peterborough,E00079309,402,84,124,44,34,25,49,30,8,4
Peterborough,E00079310,297,56,68,56,27,24,43,19,0,4
Peterborough,E00079311,393,77,95,67,50,41,40,23,0,0
Peterborough,E00079312,343,58,109,44,31,39,38,23,1,0
Peterborough,E00079313,234,29,55,36,22,34,40,16,2,0
Peterborough,E00079314,244,45,78,30,16,29,25,12,5,4
Peterborough,E00079315,255,39,56,33,23,34,44,19,2,5
Peterborough,E00079316,276,22,60,51,23,26,40,43,11,0
Peterborough,E00079317,479,58,159,58,36,39,68,50,11,0
Peterborough,E00079318,259,34,83,22,30,24,28,37,1,0
Peterborough,E00079319,238,23,54,34,41,29,33,20,4,0
Peterborough,E00079320,290,19,84,40,38,32,47,20,10,0
Peterborough,E00079321,287,21,61,37,23,21,73,45,6,0
Peterborough,E00079322,160,8,18,16,16,24,42,34,2,0
Peterborough,E00079323,208,25,48,23,29,24,26,25,5,3
Peterborough,E00079324,273,38,83,27,36,29,45,13,2,0
Peterborough,E00079325,374,46,111,43,50,34,51,34,0,5
Peterborough,E00079326,295,86,91,45,31,19,15,6,2,0
Peterborough,E00079327,382,98,121,31,62,20,29,17,1,3
Peterborough,E00079328,267,14,61,37,24,62,34,22,6,7
Peterborough,E00079329,257,17,60,31,26,24,49,42,8,0
Peterborough,E00079330,108,14,15,15,7,13,26,16,2,0
Peterborough,E00079331,332,44,88,40,50,33,46,26,3,2
Peterborough,E00079332,294,47,76,31,65,37,12,23,3,0
Peterborough,E00079333,232,27,54,38,22,35,31,16,6,3
Peterborough,E00079334,263,45,43,36,32,32,45,26,2,2
Peterborough,E00079335,226,18,60,38,15,39,30,23,3,0
Peterborough,E00079336,299,51,67,49,33,34,44,21,0,0
Peterborough,E00079337,278,53,54,57,22,30,42,18,2,0
Peterborough,E00079338,313,50,101,42,37,40,29,12,2,0
Peterborough,E00079339,248,31,81,32,21,24,37,22,0,0
Peterborough,E00079340,310,70,112,30,23,13,27,26,9,0
Peterborough,E00079341,363,84,78,37,51,21,39,32,19,2
Peterborough,E00079342,291,88,79,29,45,22,16,9,3,0
Peterborough,E00079343,324,136,119,27,22,4,4,12,0,0
Peterborough,E00079344,256,51,69,30,34,8,22,34,8,0
Peterborough,E00079345,277,67,84,45,24,16,21,12,8,0
Peterborough,E00079346,265,65,44,33,35,16,25,35,12,0
Peterborough,E00079347,299,53,71,23,24,21,36,51,20,0
Peterborough,E00079348,273,54,83,47,31,15,22,20,1,0
Peterborough,E00079349,298,98,89,15,55,6,14,9,6,6
Peterborough,E00079350,307,85,111,32,22,13,28,11,5,0
Peterborough,E00079351,292,95,69,20,58,11,17,9,13,0
Peterborough,E00079352,234,51,40,31,32,17,22,25,13,3
Peterborough,E00079353,261,66,81,24,24,8,38,12,7,1
Peterborough,E00079354,294,93,106,42,18,4,11,19,1,0
Peterborough,E00079355,312,64,61,53,19,29,43,17,19,7
Peterborough,E00079356,292,34,50,47,37,30,47,33,14,0
Peterborough,E00079357,376,42,91,65,59,33,38,30,18,0
Peterborough,E00079358,286,34,61,28,63,25,28,32,15,0
Peterborough,E00079359,338,52,85,32,59,30,23,36,17,4
Peterborough,E00079360,370,75,114,38,58,32,22,16,3,12
Peterborough,E00079361,311,46,78,45,47,12,38,40,5,0
Peterborough,E00079362,287,28,41,39,27,25,29,75,21,2
Peterborough,E00079363,373,37,47,38,54,30,59,71,33,4
Peterborough,E00079364,295,119,71,18,41,16,19,6,3,2
Peterborough,E00079365,390,22,56,30,72,41,78,70,15,6
Peterborough,E00079366,275,59,62,26,35,15,35,18,20,5
Peterborough,E00171247,326,74,128,46,32,10,14,16,5,1
Peterborough,E00171248,277,50,69,33,19,29,27,45,3,2
Peterborough,E00171249,354,105,101,46,25,21,24,29,0,3
Peterborough,E00171250,376,110,117,38,39,17,18,25,4,8
Peterborough,E00171251,316,100,77,33,23,17,40,21,5,0
Peterborough,E00171252,352,90,93,43,48,34,23,8,8,5
Peterborough,E00171253,125,29,34,13,9,2,12,20,6,0
Peterborough,E00171254,313,61,78,43,19,23,48,31,10,0
Peterborough,E00171255,135,14,35,21,11,8,32,13,0,1
Peterborough,E00171256,317,74,102,37,44,18,21,17,4,0
Peterborough,E00171257,121,19,43,22,6,7,14,7,1,2
Peterborough,E00171258,172,22,27,16,10,5,26,53,13,0
Peterborough,E00171259,130,18,43,16,5,5,26,12,3,2
Peterborough,E00171260,235,33,83,38,21,15,17,18,9,1
Peterborough,E00171261,187,6,26,13,12,10,48,33,36,3
Peterborough,E00171262,363,9,43,23,36,30,95,110,16,1
Peterborough,E00171263,165,14,29,11,25,15,23,36,9,3
Peterborough,E00171264,136,13,29,17,13,12,21,27,4,0
Peterborough,E00171265,236,20,65,40,5,11,43,33,18,1
Peterborough,E00171266,381,4,21,25,46,48,52,130,40,15
Peterborough,E00171267,298,32,13,13,71,23,55,49,26,16
Peterborough,E00171268,545,26,56,34,97,31,85,175,27,14
Peterborough,E00171269,198,7,18,17,33,16,35,50,20,2
Peterborough,E00171270,231,29,43,39,15,22,44,25,9,5
Peterborough,E00171271,261,59,82,33,23,17,25,17,5,0
Peterborough,E00171272,195,38,82,19,18,9,10,12,1,6
Peterborough,E00171273,150,30,53,24,8,8,13,7,7,0
Peterborough,E00171274,131,14,37,17,15,10,15,11,12,0
Peterborough,E00171275,148,32,37,23,4,3,11,30,5,3
Peterborough,E00171276,249,52,78,42,21,23,16,15,2,0
Peterborough,E00171277,206,27,81,14,36,8,13,24,3,0
Peterborough,E00171278,135,4,28,23,1,25,24,15,15,0
Peterborough,E00171279,272,51,105,28,11,23,22,18,7,7
Peterborough,E00171280,276,52,79,28,16,26,53,17,3,2
Peterborough,E00171281,361,116,67,33,56,27,35,21,6,0
Peterborough,E00171282,165,24,34,18,9,10,16,51,3,0
Peterborough,E00171283,154,8,29,25,13,11,31,25,12,0
Peterborough,E00171284,157,37,44,17,13,9,17,7,13,0
Peterborough,E00171285,103,16,22,20,0,13,12,18,2,0
Peterborough,E00171286,215,37,75,29,34,21,10,9,0,0
Peterborough,E00171287,118,9,19,11,4,25,22,19,6,3
Peterborough,E00171288,133,54,33,10,8,8,4,16,0,0
Peterborough,E00171289,206,55,75,9,25,13,28,0,0,1
Peterborough,E00171290,164,16,51,17,14,12,8,19,21,6
Peterborough,E00171291,170,33,66,14,21,9,17,8,1,1
Peterborough,E00171292,158,40,46,9,5,12,21,12,5,8
Peterborough,E00171293,154,16,35,16,18,13,13,29,14,0
Peterborough,E00171294,187,22,27,42,9,18,16,47,6,0
Peterborough,E00171295,130,16,40,23,9,6,16,14,2,4
Peterborough,E00171296,164,28,33,22,19,5,32,12,8,5
Peterborough,E00171297,188,7,35,19,8,16,36,49,18,0
Peterborough,E00171298,189,38,70,27,31,3,9,9,2,0
Peterborough,E00171299,155,12,28,15,4,9,39,36,12,0
Peterborough,E00171300,191,29,29,26,13,22,38,18,16,0
Peterborough,E00171301,102,5,18,15,7,13,21,13,6,4
Peterborough,E00171302,196,33,35,29,6,23,32,27,11,0
Peterborough,E00171303,271,42,54,22,29,32,42,18,23,9
Peterborough,E00171304,223,39,51,47,13,24,18,24,3,4
Peterborough,E00171305,328,67,81,39,43,37,17,35,1,8
Peterborough,E00171306,114,10,34,16,6,15,5,19,4,5
Peterborough,E00171307,169,25,68,23,9,6,14,15,9,0
Peterborough,E00171308,206,49,83,16,5,20,17,13,3,0
Peterborough,E00171309,244,62,70,18,31,30,12,20,1,0
Peterborough,E00171310,299,53,62,51,27,31,32,30,13,0
Peterborough,E00171311,324,68,121,43,25,24,17,23,3,0
Peterborough,E00171312,205,34,61,41,19,15,24,4,7,0
Peterborough,E00171313,180,43,44,33,14,17,14,8,4,3
Peterborough,E00171314,207,28,67,25,24,13,12,38,0,0
Peterborough,E00171315,192,15,34,33,29,15,29,25,7,5
Peterborough,E00171316,170,35,37,26,29,14,22,1,5,1
Peterborough,E00171317,155,8,32,24,8,20,21,25,13,4
Peterborough,E00171318,147,22,34,22,8,5,32,17,6,1
Peterborough,E00171319,349,93,99,46,33,30,16,25,2,5
Peterborough,E00171320,185,29,64,25,9,14,21,13,7,3
Peterborough,E00171321,215,44,57,22,4,36,10,31,11,0
Peterborough,E00171322,199,24,56,20,38,22,18,17,0,4
Peterborough,E00171323,106,23,41,23,4,8,5,2,0,0
Peterborough,E00171324,115,29,48,11,5,1,18,3,0,0
Peterborough,E00171325,156,97,28,8,8,4,5,1,5,0
Peterborough,E00171326,306,45,102,49,20,48,20,12,10,0
Peterborough,E00171327,238,26,112,34,14,19,11,13,9,0
Peterborough,E00171328,112,33,26,14,8,11,6,11,0,3
Peterborough,E00171329,322,49,108,50,18,35,32,20,6,4
Peterborough,E00171330,112,16,27,18,7,12,4,18,8,2
Peterborough,E00171331,354,90,106,49,48,18,29,11,3,0
Peterborough,E00171332,177,8,15,27,2,16,28,47,26,8
Walsall,E00051759,213,9,17,13,20,35,42,49,17,11
Walsall,E00051760,251,32,56,23,21,37,39,31,9,3
Walsall,E00051761,288,32,71,19,21,23,46,51,24,1
Walsall,E00051762,349,68,114,33,82,13,12,16,11,0
Walsall,E00051763,334,48,73,18,45,63,52,32,3,0
Walsall,E00051764,338,32,62,37,32,37,49,64,21,4
Walsall,E00051765,259,34,78,27,41,25,29,20,4,1
Walsall,E00051766,286,43,87,26,51,35,24,14,4,2
Walsall,E00051767,276,33,77,28,37,20,54,16,11,0
Walsall,E00051768,327,47,138,43,28,36,23,11,0,1
Walsall,E00051769,256,9,35,46,42,24,54,25,21,0
Walsall,E00051770,303,36,82,55,19,21,42,36,8,4
Walsall,E00051771,428,93,106,32,86,31,52,22,5,1
Walsall,E00051772,439,49,170,45,60,42,43,21,6,3
Walsall,E00051773,344,76,111,38,43,27,17,25,2,5
Walsall,E00051774,326,36,101,43,45,17,42,26,16,0
Walsall,E00051775,309,30,97,29,54,25,33,40,1,0
Walsall,E00051776,311,38,64,24,23,48,32,66,14,2
Walsall,E00051777,264,48,83,35,26,21,28,21,2,0
Walsall,E00051778,309,61,75,37,62,22,29,16,7,0
Walsall,E00051779,378,79,111,24,46,49,20,31,6,12
Walsall,E00051780,338,97,89,28,78,9,28,7,1,1
Walsall,E00051781,387,26,52,38,35,50,83,81,21,1
Walsall,E00051782,322,18,42,32,40,38,68,75,9,0
Walsall,E00051783,250,29,65,14,27,26,34,50,5,0
Walsall,E00051784,224,3,32,27,23,21,28,59,31,0
Walsall,E00051785,382,107,102,40,78,10,21,13,8,3
Walsall,E00051786,307,29,59,34,42,47,46,42,8,0
Walsall,E00051787,252,13,46,16,41,28,36,62,9,1
Walsall,E00051788,226,34,28,23,16,50,40,24,8,3
Walsall,E00051789,310,67,83,31,40,26,24,33,6,0
Walsall,E00051791,278,30,88,47,24,27,32,28,2,0
Walsall,E00051793,208,20,41,38,30,19,19,28,9,4
Walsall,E00051794,139,18,26,33,14,8,23,14,3,0
Walsall,E00051795,258,39,51,48,24,38,30,22,6,0
Walsall,E00051796,290,3,39,28,27,26,60,75,26,6
Walsall,E00051797,318,58,72,34,75,10,30,34,5,0
Walsall,E00051798,246,24,72,38,27,26,27,28,4,0
Walsall,E00051799,302,18,54,16,28,56,37,65,27,1
Walsall,E00051800,290,9,32,31,11,34,54,62,54,3
Walsall,E00051801,273,3,44,26,40,25,65,62,8,0
